,F1,AUC,Mean Minority Recall
"('pen_digits', 'SVM', 'No Sampling')",0.7900685925489458,0.9677830126034641,0.7071090047393365
"('pen_digits', 'SVM', 'SMOTE')",0.7257597683403684,0.9769071413096606,0.9317535545023696
"('pen_digits', 'SVM', 'ADASYN')",0.5365432887945203,0.9425509223034872,0.9440758293838863
"('pen_digits', 'SVM', 'Undersampling')",0.6837973101767763,0.9733127151462814,0.9336492890995262
"('pen_digits', 'SVM', 'Oversampling')",0.7221882345957616,0.9769933931075319,0.9402843601895736
"('pen_digits', 'SVM', 'Gamma')",0.7259469141652083,0.9769603292024763,0.9364928909952607
"('pen_digits', 'KNN', 'No Sampling')",0.9928807993337637,0.9974185810426377,0.9914691943127962
"('pen_digits', 'KNN', 'SMOTE')",0.992916696110085,0.998694195310897,0.996208530805687
"('pen_digits', 'KNN', 'ADASYN')",0.9933872685278189,0.9986927644477358,0.996208530805687
"('pen_digits', 'KNN', 'Undersampling')",0.9463116213637427,0.9982210767952922,0.9971563981042653
"('pen_digits', 'KNN', 'Oversampling')",0.9924416683631373,0.9972728715173809,0.9952606635071091
"('pen_digits', 'KNN', 'Gamma')",0.9891719840694659,0.9972683402907323,0.9952606635071091
"('satimage', 'Logistic Regression', 'No Sampling')",0.0,0.7555709768733273,0.0
"('satimage', 'Logistic Regression', 'SMOTE')",0.29494193240517624,0.7603601056784457,0.8561396825396825
"('satimage', 'Logistic Regression', 'ADASYN')",0.29962937133220097,0.7514834342167489,0.8737142857142857
"('satimage', 'Logistic Regression', 'Undersampling')",0.29207108411740335,0.7462935115219913,0.8944507936507936
"('satimage', 'Logistic Regression', 'Oversampling')",0.2941171775998265,0.7599554523083928,0.8593523809523809
"('satimage', 'Logistic Regression', 'Gamma')",0.2961262212665173,0.7586610541588034,0.862526984126984
"('satimage', 'Random Forest', 'No Sampling')",0.6364666421749647,0.960043223466031,0.5126603174603175
"('satimage', 'Random Forest', 'SMOTE')",0.6860362564091007,0.9631642026866336,0.6852825396825397
"('satimage', 'Random Forest', 'ADASYN')",0.687221082774429,0.9642965329016324,0.699631746031746
"('satimage', 'Random Forest', 'Undersampling')",0.5637288568294266,0.950791041941442,0.8912761904761904
"('satimage', 'Random Forest', 'Oversampling')",0.6877420124204469,0.9636017544111066,0.6261206349206349
"('satimage', 'Random Forest', 'Gamma')",0.6838205423649694,0.9601320054838937,0.685231746031746
"('satimage', 'SVM', 'No Sampling')",0.0,0.6892946261235418,0.0
"('satimage', 'SVM', 'SMOTE')",0.2945703159099807,0.7599153376559435,0.9408253968253968
"('satimage', 'SVM', 'ADASYN')",0.29020156243178286,0.7489321933976834,0.9456253968253968
"('satimage', 'SVM', 'Undersampling')",0.2869794627835801,0.7507967058422773,0.9536253968253968
"('satimage', 'SVM', 'Oversampling')",0.2935289606825556,0.7592186138096538,0.9520253968253968
"('satimage', 'SVM', 'Gamma')",0.2911322639164596,0.7602413498298185,0.9360253968253968
"('satimage', 'KNN', 'No Sampling')",0.6926079251259656,0.918267029053007,0.6917460317460317
"('satimage', 'KNN', 'SMOTE')",0.6206073874613296,0.9359996560624188,0.916952380952381
"('satimage', 'KNN', 'ADASYN')",0.6123814837934382,0.9356660864202471,0.9425015873015873
"('satimage', 'KNN', 'Undersampling')",0.5300070818940538,0.927848425917278,0.9264507936507936
"('satimage', 'KNN', 'Oversampling')",0.6699954192332902,0.9127182067015447,0.8370793650793651
"('satimage', 'KNN', 'Gamma')",0.5821651186683235,0.9233873814770176,0.9009015873015873
"('sick_euthyroid', 'Logistic Regression', 'No Sampling')",0.17924900384953063,0.922935626617684,0.10239625949736997
"('sick_euthyroid', 'Logistic Regression', 'SMOTE')",0.5520952528750411,0.941892896344009,0.9181180596142606
"('sick_euthyroid', 'Logistic Regression', 'ADASYN')",0.538772529682784,0.944084698924972,0.9180596142606664
"('sick_euthyroid', 'Logistic Regression', 'Undersampling')",0.4124590060214944,0.9088144553483609,0.9045587375803624
